,prod_est,coverage,type,year,month,concept,value_usd,status
175,Trade Balance of Goods of Mexico,National,Imports,2012,10,Consumer Goods,5374.863,Final Figures
176,Trade Balance of Goods of Mexico,National,Imports,2012,10,Intermediate Goods,26546.682,Final Figures
177,Trade Balance of Goods of Mexico,National,Imports,2012,10,Capital Goods,3643.29,Final Figures
178,Trade Balance of Goods of Mexico,National,Not applicable,2012,10,Total Trade Balance Exports Total - Imports Total,-1624.997,Final Figures
179,Trade Balance of Goods of Mexico,National,Not applicable,2012,10,Total Trade Balance Exports Total - Imports Total CIF,-2555.179,Final Figures
180,Trade Balance of Goods of Mexico,National,Exports,2012,11,Total Exports,31468.922,Final Figures
181,Trade Balance of Goods of Mexico,National,Exports,2012,11,Petroleum,4315.928,Final Figures
182,Trade Balance of Goods of Mexico,National,Exports,2012,11,Crude Oil,3932.719,Final Figures
183,Trade Balance of Goods of Mexico,National,Exports,2012,11,Other Oil,383.209,Final Figures
184,Trade Balance of Goods of Mexico,National,Exports,2012,11,Non Petroleum,27152.994,Final Figures
185,Trade Balance of Goods of Mexico,National,Exports,2012,11,Agrarian,875.844,Final Figures
186,Trade Balance of Goods of Mexico,National,Exports,2012,11,Extractive,443.284,Final Figures
187,Trade Balance of Goods of Mexico,National,Exports,2012,11,Manufacturing,25833.866,Final Figures
188,Trade Balance of Goods of Mexico,National,Imports,2012,11,Total Imports,32716.357,Final Figures
189,Trade Balance of Goods of Mexico,National,Imports,2012,11,Freight and insurance of imports,845.125,Final Figures
190,Trade Balance of Goods of Mexico,National,Imports,2012,11,Total Imports CIF (Total Imports + Freight and Insurance of Imports),33561.482,Final Figures
191,Trade Balance of Goods of Mexico,National,Imports,2012,11,Petroleum,3686.289,Final Figures
192,Trade Balance of Goods of Mexico,National,Imports,2012,11,Non Petroleum,29030.068,Final Figures
193,Trade Balance of Goods of Mexico,National,Imports,2012,11,Consumer Goods,5374.933,Final Figures
194,Trade Balance of Goods of Mexico,National,Imports,2012,11,Intermediate Goods,23642.568,Final Figures
195,Trade Balance of Goods of Mexico,National,Imports,2012,11,Capital Goods,3698.856,Final Figures
196,Trade Balance of Goods of Mexico,National,Not applicable,2012,11,Total Trade Balance Exports Total - Imports Total,-1247.435,Final Figures
197,Trade Balance of Goods of Mexico,National,Not applicable,2012,11,Total Trade Balance Exports Total - Imports Total CIF,-2092.56,Final Figures
198,Trade Balance of Goods of Mexico,National,Exports,2012,12,Total Exports,30209.376,Final Figures
199,Trade Balance of Goods of Mexico,National,Exports,2012,12,Petroleum,3911.398,Final Figures
200,Trade Balance of Goods of Mexico,National,Exports,2012,12,Crude Oil,3519.09,Final Figures
201,Trade Balance of Goods of Mexico,National,Exports,2012,12,Other Oil,392.308,Final Figures
202,Trade Balance of Goods of Mexico,National,Exports,2012,12,Non Petroleum,26297.978,Final Figures
203,Trade Balance of Goods of Mexico,National,Exports,2012,12,Agrarian,955.909,Final Figures
204,Trade Balance of Goods of Mexico,National,Exports,2012,12,Extractive,365.657,Final Figures
205,Trade Balance of Goods of Mexico,National,Exports,2012,12,Manufacturing,24976.412,Final Figures
206,Trade Balance of Goods of Mexico,National,Imports,2012,12,Total Imports,29207.86,Final Figures
207,Trade Balance of Goods of Mexico,National,Imports,2012,12,Freight and insurance of imports,748.091,Final Figures
208,Trade Balance of Goods of Mexico,National,Imports,2012,12,Total Imports CIF (Total Imports + Freight and Insurance of Imports),29955.951,Final Figures
209,Trade Balance of Goods of Mexico,National,Imports,2012,12,Petroleum,2856.513,Final Figures
210,Trade Balance of Goods of Mexico,National,Imports,2012,12,Non Petroleum,26351.347,Final Figures
211,Trade Balance of Goods of Mexico,National,Imports,2012,12,Consumer Goods,4170.05,Final Figures
212,Trade Balance of Goods of Mexico,National,Imports,2012,12,Intermediate Goods,21632.114,Final Figures
213,Trade Balance of Goods of Mexico,National,Imports,2012,12,Capital Goods,3405.696,Final Figures
214,Trade Balance of Goods of Mexico,National,Not applicable,2012,12,Total Trade Balance Exports Total - Imports Total,1001.516,Final Figures
215,Trade Balance of Goods of Mexico,National,Not applicable,2012,12,Total Trade Balance Exports Total - Imports Total CIF,253.425,Final Figures
216,Trade Balance of Goods of Mexico,National,Exports,2013,1,Total Exports,27298.537,Final Figures
217,Trade Balance of Goods of Mexico,National,Exports,2013,1,Petroleum,4549.365,Final Figures
218,Trade Balance of Goods of Mexico,National,Exports,2013,1,Crude Oil,4021.07,Final Figures
219,Trade Balance of Goods of Mexico,National,Exports,2013,1,Other Oil,528.295,Final Figures
220,Trade Balance of Goods of Mexico,National,Exports,2013,1,Non Petroleum,22749.172,Final Figures
221,Trade Balance of Goods of Mexico,National,Exports,2013,1,Agrarian,990.173,Final Figures
222,Trade Balance of Goods of Mexico,National,Exports,2013,1,Extractive,288.66,Final Figures
223,Trade Balance of Goods of Mexico,National,Exports,2013,1,Manufacturing,21470.339,Final Figures
224,Trade Balance of Goods of Mexico,National,Imports,2013,1,Total Imports,30152.955,Final Figures
225,Trade Balance of Goods of Mexico,National,Imports,2013,1,Freight and insurance of imports,801.655999,Final Figures
226,Trade Balance of Goods of Mexico,National,Imports,2013,1,Total Imports CIF (Total Imports + Freight and Insurance of Imports),30954.611,Final Figures
227,Trade Balance of Goods of Mexico,National,Imports,2013,1,Petroleum,4008.873,Final Figures
228,Trade Balance of Goods of Mexico,National,Imports,2013,1,Non Petroleum,26144.082,Final Figures
229,Trade Balance of Goods of Mexico,National,Imports,2013,1,Consumer Goods,4752.54,Final Figures
230,Trade Balance of Goods of Mexico,National,Imports,2013,1,Intermediate Goods,22159.524,Final Figures
231,Trade Balance of Goods of Mexico,National,Imports,2013,1,Capital Goods,3240.891,Final Figures
232,Trade Balance of Goods of Mexico,National,Not applicable,2013,1,Total Trade Balance Exports Total - Imports Total,-2854.418,Final Figures
233,Trade Balance of Goods of Mexico,National,Not applicable,2013,1,Total Trade Balance Exports Total - Imports Total CIF,-3656.073999,Final Figures
234,Trade Balance of Goods of Mexico,National,Exports,2013,2,Total Exports,29091.473,Final Figures
235,Trade Balance of Goods of Mexico,National,Exports,2013,2,Petroleum,4084.912,Final Figures
236,Trade Balance of Goods of Mexico,National,Exports,2013,2,Crude Oil,3599.934,Final Figures
237,Trade Balance of Goods of Mexico,National,Exports,2013,2,Other Oil,484.978,Final Figures
238,Trade Balance of Goods of Mexico,National,Exports,2013,2,Non Petroleum,25006.561,Final Figures
239,Trade Balance of Goods of Mexico,National,Exports,2013,2,Agrarian,1043.716,Final Figures
240,Trade Balance of Goods of Mexico,National,Exports,2013,2,Extractive,318.37,Final Figures
241,Trade Balance of Goods of Mexico,National,Exports,2013,2,Manufacturing,23644.475,Final Figures
242,Trade Balance of Goods of Mexico,National,Imports,2013,2,Total Imports,29066.034,Final Figures
243,Trade Balance of Goods of Mexico,National,Imports,2013,2,Freight and insurance of imports,748.709,Final Figures
244,Trade Balance of Goods of Mexico,National,Imports,2013,2,Total Imports CIF (Total Imports + Freight and Insurance of Imports),29814.743,Final Figures
245,Trade Balance of Goods of Mexico,National,Imports,2013,2,Petroleum,3009.756,Final Figures
246,Trade Balance of Goods of Mexico,National,Imports,2013,2,Non Petroleum,26056.278,Final Figures
247,Trade Balance of Goods of Mexico,National,Imports,2013,2,Consumer Goods,4176.103,Final Figures
248,Trade Balance of Goods of Mexico,National,Imports,2013,2,Intermediate Goods,21971.618,Final Figures
249,Trade Balance of Goods of Mexico,National,Imports,2013,2,Capital Goods,2918.314,Final Figures
250,Trade Balance of Goods of Mexico,National,Not applicable,2013,2,Total Trade Balance Exports Total - Imports Total,25.439,Final Figures
251,Trade Balance of Goods of Mexico,National,Not applicable,2013,2,Total Trade Balance Exports Total - Imports Total CIF,-723.27,Final Figures
252,Trade Balance of Goods of Mexico,National,Exports,2013,3,Total Exports,31838.072,Final Figures
253,Trade Balance of Goods of Mexico,National,Exports,2013,3,Petroleum,4157.749,Final Figures
254,Trade Balance of Goods of Mexico,National,Exports,2013,3,Crude Oil,3521.293,Final Figures
255,Trade Balance of Goods of Mexico,National,Exports,2013,3,Other Oil,636.456,Final Figures
256,Trade Balance of Goods of Mexico,National,Exports,2013,3,Non Petroleum,27680.323,Final Figures
257,Trade Balance of Goods of Mexico,National,Exports,2013,3,Agrarian,1161.478,Final Figures
258,Trade Balance of Goods of Mexico,National,Exports,2013,3,Extractive,447.011,Final Figures
259,Trade Balance of Goods of Mexico,National,Exports,2013,3,Manufacturing,26071.834,Final Figures
260,Trade Balance of Goods of Mexico,National,Imports,2013,3,Total Imports,30127.821,Final Figures
261,Trade Balance of Goods of Mexico,National,Imports,2013,3,Freight and insurance of imports,767.525999,Final Figures
262,Trade Balance of Goods of Mexico,National,Imports,2013,3,Total Imports CIF (Total Imports + Freight and Insurance of Imports),30895.347,Final Figures
263,Trade Balance of Goods of Mexico,National,Imports,2013,3,Petroleum,3561.441,Final Figures
264,Trade Balance of Goods of Mexico,National,Imports,2013,3,Non Petroleum,26566.38,Final Figures
265,Trade Balance of Goods of Mexico,National,Imports,2013,3,Consumer Goods,4718.7,Final Figures
266,Trade Balance of Goods of Mexico,National,Imports,2013,3,Intermediate Goods,22488.626,Final Figures
267,Trade Balance of Goods of Mexico,National,Imports,2013,3,Capital Goods,2920.495,Final Figures
268,Trade Balance of Goods of Mexico,National,Not applicable,2013,3,Total Trade Balance Exports Total - Imports Total,1710.251,Final Figures
269,Trade Balance of Goods of Mexico,National,Not applicable,2013,3,Total Trade Balance Exports Total - Imports Total CIF,942.725,Final Figures
270,Trade Balance of Goods of Mexico,National,Exports,2013,4,Total Exports,32729.138,Final Figures
271,Trade Balance of Goods of Mexico,National,Exports,2013,4,Petroleum,4439.145,Final Figures
272,Trade Balance of Goods of Mexico,National,Exports,2013,4,Crude Oil,3791.606,Final Figures
273,Trade Balance of Goods of Mexico,National,Exports,2013,4,Other Oil,647.539,Final Figures
274,Trade Balance of Goods of Mexico,National,Exports,2013,4,Non Petroleum,28289.993,Final Figures
275,Trade Balance of Goods of Mexico,National,Exports,2013,4,Agrarian,1195.719,Final Figures
276,Trade Balance of Goods of Mexico,National,Exports,2013,4,Extractive,427.266,Final Figures
277,Trade Balance of Goods of Mexico,National,Exports,2013,4,Manufacturing,26667.008,Final Figures
278,Trade Balance of Goods of Mexico,National,Imports,2013,4,Total Imports,34087.541,Final Figures
