prod_est,coverage,type,year,month,concept,value_usd,status
Trade Balance of Goods of Mexico,National,Imports,2012,7,Consumer Goods,4177.291,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,7,Intermediate Goods,23390.967,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,7,Capital Goods,3135.792,Final Figures
Trade Balance of Goods of Mexico,National,Not applicable,2012,7,Total Trade Balance Exports Total - Imports Total,-409.644,Final Figures
Trade Balance of Goods of Mexico,National,Not applicable,2012,7,Total Trade Balance Exports Total - Imports Total CIF,-1224.047,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,8,Total Exports,31660.136,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,8,Petroleum,4809.888,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,8,Crude Oil,4238.029,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,8,Other Oil,571.859,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,8,Non Petroleum,26850.248,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,8,Agrarian,570.652,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,8,Extractive,441.836,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,8,Manufacturing,25837.76,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,8,Total Imports,32641.949,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,8,Freight and insurance of imports,862.33,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,8,Total Imports CIF (Total Imports + Freight and Insurance of Imports),33504.279,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,8,Petroleum,3591.494,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,8,Non Petroleum,29050.455,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,8,Consumer Goods,4781.706,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,8,Intermediate Goods,24463.475,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,8,Capital Goods,3396.768,Final Figures
Trade Balance of Goods of Mexico,National,Not applicable,2012,8,Total Trade Balance Exports Total - Imports Total,-981.812999,Final Figures
Trade Balance of Goods of Mexico,National,Not applicable,2012,8,Total Trade Balance Exports Total - Imports Total CIF,-1844.143,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,9,Total Exports,29279.642,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,9,Petroleum,4573.095,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,9,Crude Oil,4100.606,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,9,Other Oil,472.489,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,9,Non Petroleum,24706.547,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,9,Agrarian,568.269,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,9,Extractive,551.092,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,9,Manufacturing,23587.186,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,9,Total Imports,29069.597,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,9,Freight and insurance of imports,765.408,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,9,Total Imports CIF (Total Imports + Freight and Insurance of Imports),29835.005,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,9,Petroleum,2986.736,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,9,Non Petroleum,26082.861,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,9,Consumer Goods,4264.023,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,9,Intermediate Goods,21806.83,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,9,Capital Goods,2998.744,Final Figures
Trade Balance of Goods of Mexico,National,Not applicable,2012,9,Total Trade Balance Exports Total - Imports Total,210.045,Final Figures
Trade Balance of Goods of Mexico,National,Not applicable,2012,9,Total Trade Balance Exports Total - Imports Total CIF,-555.363,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,10,Total Exports,33939.839,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,10,Petroleum,4641.024,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,10,Crude Oil,4199.817,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,10,Other Oil,441.207,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,10,Non Petroleum,29298.815,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,10,Agrarian,759.03,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,10,Extractive,401.108,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,10,Manufacturing,28138.677,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,10,Total Imports,35564.836,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,10,Freight and insurance of imports,930.182,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,10,Total Imports CIF (Total Imports + Freight and Insurance of Imports),36495.017999,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,10,Petroleum,4142.064,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,10,Non Petroleum,31422.772,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,10,Consumer Goods,5374.863,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,10,Intermediate Goods,26546.682,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,10,Capital Goods,3643.29,Final Figures
Trade Balance of Goods of Mexico,National,Not applicable,2012,10,Total Trade Balance Exports Total - Imports Total,-1624.997,Final Figures
Trade Balance of Goods of Mexico,National,Not applicable,2012,10,Total Trade Balance Exports Total - Imports Total CIF,-2555.179,Final Figures
