prod_est,coverage,type,year,month,concept,value_usd,status
Trade Balance of Goods of Mexico,National,Imports,2022,6,Total Imports,55191.302,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,6,Freight and insurance of imports,1998.0111,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,6,Total Imports CIF (Total Imports + Freight and Insurance of Imports),57189.3131,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,6,Petroleum,8765.851,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,6,Non Petroleum,46425.452,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,6,Consumer Goods,7977.768,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,6,Intermediate Goods,43204.036,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,6,Capital Goods,4009.498,Final Figures
Trade Balance of Goods of Mexico,National,Not applicable,2022,6,Total Trade Balance Exports Total - Imports Total,-3971.163,Final Figures
Trade Balance of Goods of Mexico,National,Not applicable,2022,6,Total Trade Balance Exports Total - Imports Total CIF,-5969.1741,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,7,Total Exports,46216.526,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,7,Petroleum,3817.606,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,7,Crude Oil,3166.436,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,7,Other Oil,651.17,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,7,Non Petroleum,42398.92,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,7,Agrarian,1411.432,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,7,Extractive,797.747,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,7,Manufacturing,40189.741,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,7,Total Imports,52463.962,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,7,Freight and insurance of imports,1926.1875,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,7,Total Imports CIF (Total Imports + Freight and Insurance of Imports),54390.1495,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,7,Petroleum,8181.493,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,7,Non Petroleum,44282.47,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,7,Consumer Goods,7543.58,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,7,Intermediate Goods,41032.179,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,7,Capital Goods,3888.203,Final Figures
Trade Balance of Goods of Mexico,National,Not applicable,2022,7,Total Trade Balance Exports Total - Imports Total,-6247.436,Final Figures
Trade Balance of Goods of Mexico,National,Not applicable,2022,7,Total Trade Balance Exports Total - Imports Total CIF,-8173.6235,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,8,Total Exports,50464.229,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,8,Petroleum,3189.779,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,8,Crude Oil,2492.701,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,8,Other Oil,697.078,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,8,Non Petroleum,47274.45,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,8,Agrarian,1388.928,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,8,Extractive,687.705,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,8,Manufacturing,45197.817,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,8,Total Imports,56168.196,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,8,Freight and insurance of imports,2062.3692,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,8,Total Imports CIF (Total Imports + Freight and Insurance of Imports),58230.5652,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,8,Petroleum,7584.636,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,8,Non Petroleum,48583.56,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,8,Consumer Goods,7682.88,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,8,Intermediate Goods,44082.138,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,8,Capital Goods,4403.177,Final Figures
Trade Balance of Goods of Mexico,National,Not applicable,2022,8,Total Trade Balance Exports Total - Imports Total,-5703.967,Final Figures
Trade Balance of Goods of Mexico,National,Not applicable,2022,8,Total Trade Balance Exports Total - Imports Total CIF,-7766.3362,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,9,Total Exports,52323.438,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,9,Petroleum,3281.359,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,9,Crude Oil,2589.282,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,9,Other Oil,692.078,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,9,Non Petroleum,49042.079,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,9,Agrarian,1199.124,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,9,Extractive,614.893,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,9,Manufacturing,47228.062,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,9,Total Imports,53233.431,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,9,Freight and insurance of imports,1901.6638,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,9,Total Imports CIF (Total Imports + Freight and Insurance of Imports),55135.0948,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,9,Petroleum,6864.605,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,9,Non Petroleum,46368.826,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,9,Consumer Goods,7360.525,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,9,Intermediate Goods,41701.166,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,9,Capital Goods,4171.74,Final Figures
